2015-08-29 00:56:08 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:09 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:09 - infiSTAR.de AdminLog | 0h 30min | GH0ST - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:56:39 - infiSTAR.de AdminLog | 0h 31min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:58:05 - infiSTAR.de AdminLog | 0h 32min | GH0ST Moving to WeskeR   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 00:58:08 - infiSTAR.de AdminLog | 0h 32min | K2LU Moved to GH0ST   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | GH0ST(any)
2015-08-29 10:48:39 - infiSTAR.de AdminLog | 1h 60min | WeskeR G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 10:48:45 - infiSTAR.de AdminLog | 1h 60min | WeskeR - No OverBurdened - ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 10:49:33 - infiSTAR.de AdminLog | 1h 60min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:18:41 - infiSTAR.de AdminLog | 0h 12min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:22:12 - infiSTAR.de AdminLog | 0h 15min | WeskeR G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:36:45 - infiSTAR.de AdminLog | 0h 01min | WeskeR G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:36:48 - infiSTAR.de AdminLog | 0h 01min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:36:50 - infiSTAR.de AdminLog | 0h 01min | WeskeR - No OverBurdened - ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:53:16 - infiSTAR.de AdminLog | 0h 21min | WeskeR - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:53:16 - infiSTAR.de AdminLog | 0h 21min | WeskeR - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:53:17 - infiSTAR.de AdminLog | 0h 21min | WeskeR - added ItemBriefcase100oz to his inventory   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:54:21 - infiSTAR.de AdminLog | 0h 22min | WeskeR TP infront of you ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:57:36 - infiSTAR.de AdminLog | 0h 25min | WeskeR Spectating K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 11:57:46 - infiSTAR.de AdminLog | 0h 25min | WeskeR Moving to K2LU   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
2015-08-29 12:00:24 - infiSTAR.de AdminLog | 0h 28min | WeskeR G_o_d ON   |Instance: 24 - ArmA2OA163125548 - 04012015IAHAT341B | WeskeR(any)
